"GoId","Aspect"
"GO:0007206","P"
"GO:0035584","P"
"GO:0090647","P"
"GO:0099170","P"
"GO:1902938","P"
"GO:1904646","P"
"GO:0099553","P"
"GO:0035524","P"
"GO:0015180","F"
"GO:0015808","P"
"GO:0005280","F"
"GO:0015816","P"
"GO:0015187","F"
"GO:0015193","F"
"GO:0022851","F"
"GO:0071420","P"
"GO:0098982","C"
"GO:1902476","P"
"GO:1902711","C"
"GO:1904862","P"
"GO:0008503","F"
"GO:0004890","F"
"GO:0007214","P"
"GO:0030285","C"
"GO:0032809","C"
"GO:0050811","F"
"GO:0090102","P"
"GO:0099192","C"
"GO:0098978","C"
"GO:2001226","P"
"GO:0001540","F"
"GO:0001661","P"
"GO:0001967","P"
"GO:0001975","P"
"GO:0004972","F"
"GO:0007616","P"
"GO:0008542","P"
"GO:0016594","F"
"GO:0016595","F"
"GO:0017146","C"
"GO:0022849","F"
"GO:0043083","C"
"GO:0048013","P"
"GO:0051290","P"
"GO:0060134","P"
"GO:0098976","P"
"GO:0099061","C"
"GO:0033058","P"
"GO:0097202","P"
"GO:1902951","P"
"GO:0051721","F"
"GO:0070062","C"
"GO:0070821","C"
"GO:0101003","C"
"GO:0002086","P"
"GO:0043181","P"
"GO:0046716","P"
"GO:0031404","F"
"GO:0001997","P"
"GO:0002024","P"
"GO:0007190","P"
"GO:0030165","F"
"GO:0031694","F"
"GO:0040015","P"
"GO:0098685","C"
"GO:0099579","F"
"GO:0120162","P"
"GO:0004940","F"
"GO:0002025","P"
"GO:0051380","F"
"GO:0051379","F"
"GO:0009822","P"
"GO:0016098","P"
"GO:0020037","F"
"GO:0033076","P"
"GO:0042572","P"
"GO:0090350","P"
"GO:0042738","P"
"GO:0002032","P"
"GO:0004941","F"
"GO:0007171","P"
"GO:0008179","F"
"GO:0010739","P"
"GO:0015459","F"
"GO:0061885","P"
"GO:1901098","P"
"GO:1904504","P"
"GO:1990911","P"
"GO:2000481","P"
"GO:2000969","P"
"GO:0008559","F"
"GO:0090554","F"
"GO:0090555","F"
"GO:0099038","F"
"GO:0099040","P"
"GO:0004666","F"
"GO:0019371","P"
"GO:0009750","P"
"GO:0010575","P"
"GO:0019372","P"
"GO:0031394","P"
"GO:0031915","P"
"GO:0034356","P"
"GO:0035633","P"
"GO:0042307","P"
"GO:0042803","F"
"GO:0045429","P"
"GO:0046697","P"
"GO:0051968","P"
"GO:0071284","P"
"GO:0071318","P"
"GO:0071471","P"
"GO:0071498","P"
"GO:0090050","P"
"GO:0090271","P"
"GO:0090336","P"
"GO:0090362","P"
"GO:0019373","P"
"GO:0034875","F"
"GO:0071276","P"
"GO:0071280","P"
"GO:0071615","P"
"GO:0097267","P"
"GO:0101020","F"
"GO:0101021","F"
"GO:0002933","P"
"GO:0010193","P"
"GO:0018601","F"
"GO:0018885","P"
"GO:0018910","P"
"GO:0018960","P"
"GO:0030544","F"
"GO:0042197","P"
"GO:0051879","F"
"GO:0005881","C"
"GO:0008389","F"
"GO:0046226","P"
"GO:0008401","F"
"GO:0030343","F"
"GO:0036378","P"
"GO:0050649","F"
"GO:0001972","F"
"GO:0006789","P"
"GO:0015020","F"
"GO:0034663","C"
"GO:0042167","P"
"GO:0046982","F"
"GO:0051552","P"
"GO:0052696","P"
"GO:0052697","P"
"GO:0070980","P"
"GO:0071361","P"
"GO:0071392","P"
"GO:0006068","P"
"GO:0042420","P"
"GO:1903351","P"
"GO:0004060","F"
"GO:0017064","F"
"GO:0047372","F"
"GO:0052651","P"
"GO:0102077","F"
"GO:0103073","F"
"GO:0004040","F"
"GO:0010917","P"
"GO:0032591","C"
"GO:0050960","P"
"GO:0050965","P"
"GO:0050968","P"
"GO:0060083","P"
"GO:0060454","P"
"GO:0071502","P"
"GO:0090212","P"
"GO:1901594","P"
"GO:0002674","P"
"GO:0004364","F"
"GO:0004602","F"
"GO:0008432","F"
"GO:0010804","P"
"GO:0032930","P"
"GO:0035726","P"
"GO:0035730","F"
"GO:0035731","F"
"GO:0035732","P"
"GO:0043124","P"
"GO:0043295","F"
"GO:0043508","P"
"GO:0043651","P"
"GO:0051771","P"
"GO:0070026","F"
"GO:0071364","P"
"GO:0071460","P"
"GO:0071638","P"
"GO:0071672","P"
"GO:0097057","C"
"GO:1901687","P"
"GO:1904706","P"
"GO:0004064","F"
"GO:0004089","F"
"GO:0008270","F"
"GO:0015701","P"
"GO:0035722","P"
"GO:0009925","C"
"GO:0015250","F"
"GO:0015793","P"
"GO:0021670","P"
"GO:0030185","P"
"GO:0031526","C"
"GO:0035377","P"
"GO:0046878","P"
"GO:0048146","P"
"GO:0071260","P"
"GO:0071300","P"
"GO:0071320","P"
"GO:0071549","P"
"GO:0071732","P"
"GO:0020005","C"
"GO:0005452","F"
"GO:0015742","P"
"GO:0031427","P"
"GO:0043252","P"
"GO:0097254","P"
"GO:0015347","F"
"GO:0032230","P"
"GO:0032849","P"
"GO:0045780","P"
"GO:2001150","P"
"GO:0031362","C"
"GO:0005546","F"
"GO:0015272","F"
"GO:1990573","P"
"GO:0004090","F"
"GO:0047021","F"
"GO:0050221","F"
"GO:0002576","P"
"GO:0015643","F"
"GO:0030170","F"
"GO:0031093","C"
"GO:0034375","P"
"GO:0051087","F"
"GO:0051659","P"
"GO:0140272","F"
"GO:1903981","F"
"GO:0001591","F"
"GO:0002031","P"
"GO:0002052","P"
"GO:0002092","P"
"GO:0007195","P"
"GO:0007270","P"
"GO:0007608","P"
"GO:0007628","P"
"GO:0016328","C"
"GO:0021853","P"
"GO:0021984","P"
"GO:0030432","P"
"GO:0032467","P"
"GO:0032922","P"
"GO:0033602","P"
"GO:0035240","F"
"GO:0035255","F"
"GO:0035810","P"
"GO:0035815","P"
"GO:0040018","P"
"GO:0043204","C"
"GO:0048148","P"
"GO:0048149","P"
"GO:0048755","P"
"GO:0051481","P"
"GO:0051586","P"
"GO:0051823","P"
"GO:0051898","P"
"GO:0051967","P"
"GO:0060124","P"
"GO:0060158","P"
"GO:0060160","P"
"GO:0090325","P"
"GO:0098691","C"
"GO:1900168","P"
"GO:1900273","P"
"GO:1901386","P"
"GO:0001588","F"
"GO:0007191","P"
"GO:0021542","P"
"GO:0035106","P"
"GO:0042711","P"
"GO:0043987","P"
"GO:0046959","P"
"GO:0046960","P"
"GO:0051482","P"
"GO:0001965","F"
"GO:0004879","F"
"GO:0005497","F"
"GO:0008013","F"
"GO:0019102","P"
"GO:0033148","P"
"GO:0033327","P"
"GO:0043568","P"
"GO:0045720","P"
"GO:0045726","P"
"GO:0045945","P"
"GO:0048808","P"
"GO:0051092","P"
"GO:0051117","F"
"GO:0060520","P"
"GO:0060599","P"
"GO:0060748","P"
"GO:0060769","P"
"GO:0070974","F"
"GO:0071394","P"
"GO:0072520","P"
"GO:0005277","F"
"GO:0005330","F"
"GO:0005334","F"
"GO:0008513","F"
"GO:0010248","P"
"GO:0008508","F"
"GO:0000900","F"
"GO:0003148","P"
"GO:0033189","P"
"GO:0042826","F"
"GO:0043422","F"
"GO:0044323","F"
"GO:0045630","P"
"GO:0048027","F"
"GO:0051393","F"
"GO:0055012","P"
"GO:0060534","P"
"GO:0060591","P"
"GO:0071391","P"
"GO:0003430","P"
"GO:0032331","P"
"GO:0035116","P"
"GO:0046965","F"
"GO:0070384","P"
"GO:1990830","P"
"GO:0016922","F"
"GO:0042809","F"
"GO:0045994","P"
"GO:0050692","F"
"GO:0050693","F"
"GO:0051289","P"
"GO:0060528","P"
"GO:0060687","P"
"GO:0070644","F"
"GO:0001609","F"
"GO:0002314","P"
"GO:0002636","P"
"GO:0002906","P"
"GO:0006154","P"
"GO:0006157","P"
"GO:0030890","P"
"GO:0032839","C"
"GO:0042323","P"
"GO:0046061","P"
"GO:0046103","P"
"GO:0046111","P"
"GO:0050862","P"
"GO:0060169","P"
"GO:0060407","P"
"GO:0070244","P"
"GO:0070256","P"
"GO:0043103","P"
"GO:0006175","P"
"GO:0044209","P"
"GO:0004001","F"
"GO:0000186","P"
"GO:0002087","P"
"GO:0014050","P"
"GO:0030673","C"
"GO:0031683","F"
"GO:0032229","P"
"GO:0032244","P"
"GO:0032795","F"
"GO:0035814","P"
"GO:0043195","C"
"GO:0044305","C"
"GO:0045741","P"
"GO:0055089","P"
"GO:0060087","P"
"GO:0099582","F"
"GO:1900272","P"
"GO:1900453","P"
"GO:0006968","P"
"GO:0007205","P"
"GO:0014049","P"
"GO:0014057","P"
"GO:0031802","F"
"GO:0043116","P"
"GO:0010753","P"
"GO:0031284","P"
"GO:1904823","P"
"GO:0015860","P"
"GO:0015390","F"
"GO:0015389","F"
"GO:0005524","F"
"GO:0004679","F"
"GO:0006069","P"
"GO:0016208","F"
"GO:0004691","F"
"GO:0009631","P"
"GO:0035174","F"
"GO:0042149","P"
"GO:0045542","P"
"GO:0045821","P"
"GO:0046627","P"
"GO:0047322","F"
"GO:0048156","F"
"GO:0050405","F"
"GO:0071277","P"
"GO:0071380","P"
"GO:0097009","P"
"GO:1903109","P"
"GO:1903955","P"
"GO:1904428","P"
"GO:0006171","P"
"GO:0032793","P"
"GO:0071377","P"
"GO:0098686","C"
"GO:1904322","P"
"GO:0033211","P"
"GO:0001102","F"
"GO:0001225","F"
"GO:0005719","C"
"GO:0010944","P"
"GO:0032916","P"
"GO:0034670","P"
"GO:0035035","F"
"GO:0035497","F"
"GO:0035729","P"
"GO:0036120","P"
"GO:0045899","P"
"GO:0050821","P"
"GO:0060430","P"
"GO:0060509","P"
"GO:0071294","P"
"GO:1990314","P"
"GO:1990589","C"
"GO:1990763","F"
"GO:0043024","F"
"GO:0060045","P"
"GO:1902033","P"
"GO:0000930","C"
"GO:0004115","F"
"GO:0006198","P"
"GO:0030552","F"
"GO:0043015","F"
"GO:0044325","F"
"GO:0071872","P"
"GO:1901898","P"
"GO:0005536","F"
"GO:0005080","F"
"GO:0031698","F"
"GO:0033137","P"
"GO:0097110","F"
"GO:1901844","P"
"GO:0042132","F"
"GO:0045820","P"
"GO:0071286","P"
"GO:0005986","P"
"GO:0032264","P"
"GO:0002055","F"
"GO:0003999","F"
"GO:0006168","P"
"GO:0004867","F"
"GO:0004883","F"
"GO:0032183","F"
"GO:0042921","P"
"GO:0043402","P"
"GO:1902895","P"
"GO:1990239","F"
"GO:0033384","P"
"GO:0045337","P"
"GO:0004161","F"
"GO:0004337","F"
"GO:0004726","F"
"GO:0008201","F"
"GO:0034164","P"
"GO:0043395","F"
"GO:0090557","P"
"GO:0033180","C"
"GO:0033572","P"
"GO:0090383","P"
"GO:0046961","F"
"GO:0001985","P"
"GO:0004937","F"
"GO:0007202","P"
"GO:0007512","P"
"GO:0030018","C"
"GO:0035024","P"
"GO:0045760","P"
"GO:0060452","P"
"GO:0090037","P"
"GO:0097195","P"
"GO:0150099","P"
"GO:1903997","P"
"GO:0001994","P"
"GO:0003064","P"
"GO:0005251","F"
"GO:0055131","F"
"GO:0060307","P"
"GO:0086091","P"
"GO:0098915","P"
"GO:1902282","F"
"GO:1902937","C"
"GO:1903765","P"
"GO:0002003","P"
"GO:0002018","P"
"GO:0005159","F"
"GO:0035115","P"
"GO:0034653","P"
"GO:0008160","F"
"GO:0031994","F"
"GO:0042567","C"
"GO:0045663","P"
"GO:0031995","F"
"GO:0001968","F"
"GO:0048387","P"
"GO:0004854","F"
"GO:0004855","F"
"GO:0009115","P"
"GO:0043546","F"
"GO:0051537","F"
"GO:0071949","F"
"GO:1900745","P"
"GO:1900747","P"
"GO:2001213","P"
"GO:0004031","F"
"GO:0102797","F"
"GO:0102798","F"
"GO:0007198","P"
"GO:0014063","P"
"GO:0051378","F"
"GO:0099154","C"
"GO:1904707","P"
"GO:0008131","F"
"GO:0022850","F"
"GO:0032154","C"
"GO:1904602","C"
"GO:0010940","P"
"GO:0014012","P"
"GO:0030325","P"
"GO:0045019","P"
"GO:0051901","P"
"GO:0060252","P"
"GO:0060253","P"
"GO:0072656","P"
"GO:0070330","F"
"GO:0032715","P"
"GO:0035580","C"
"GO:0050718","P"
"GO:1904469","P"
"GO:0015842","P"
"GO:0036468","F"
"GO:0042427","P"
"GO:0046219","P"
"GO:0046684","P"
"GO:0052314","P"
"GO:0010269","P"
"GO:0021762","P"
"GO:0051412","P"
"GO:0005892","C"
"GO:0007614","P"
"GO:0022848","F"
"GO:0042166","F"
"GO:0050893","P"
"GO:0140059","P"
"GO:1902004","P"
"GO:1902430","P"
"GO:1905920","P"
"GO:0035095","P"
"GO:0060084","P"
"GO:0001507","P"
"GO:0002076","P"
"GO:0003990","F"
"GO:0005518","F"
"GO:0005604","C"
"GO:0031594","C"
"GO:0032223","P"
"GO:0043236","F"
"GO:0043621","F"
"GO:0045212","P"
"GO:0005641","C"
"GO:0014016","P"
"GO:0033265","F"
"GO:0050783","P"
"GO:0005044","F"
"GO:0005158","F"
"GO:0030502","P"
"GO:0035529","F"
"GO:0046325","P"
"GO:0001958","P"
"GO:0050699","F"
"GO:0070207","P"
"GO:0035874","P"
"GO:0052597","F"
"GO:0052598","F"
"GO:0052599","F"
"GO:0052600","F"
"GO:0071504","P"
"GO:0097185","P"
"GO:0005925","C"
"GO:0006883","P"
"GO:0030214","P"
"GO:0030346","F"
"GO:0048306","F"
"GO:0070417","P"
"GO:0070886","P"
"GO:0071257","P"
"GO:0086036","P"
"GO:0086040","F"
"GO:0086092","P"
"GO:0098719","P"
"GO:0098735","P"
"GO:1903281","P"
"GO:0015386","F"
"GO:0003026","P"
"GO:0015226","F"
"GO:1902603","P"
"GO:0002677","P"
"GO:0006703","P"
"GO:0006710","P"
"GO:0010760","P"
"GO:0060065","P"
"GO:2000866","P"
"GO:0008386","F"
"GO:0004119","F"
"GO:0040020","P"
"GO:0043117","P"
"GO:0071321","P"
"GO:0060282","P"
"GO:0001103","F"
"GO:0006344","P"
"GO:0010870","P"
"GO:0016581","C"
"GO:0032967","P"
"GO:0035098","C"
"GO:0042531","P"
"GO:0042733","P"
"GO:0045347","P"
"GO:0048714","P"
"GO:0051059","F"
"GO:0060789","P"
"GO:0061029","P"
"GO:0061198","P"
"GO:1902437","P"
"GO:1990841","F"
"GO:0000980","F"
"GO:0008332","F"
"GO:0032342","P"
"GO:0034651","P"
"GO:0035865","P"
"GO:2000344","P"
"GO:0009624","P"
"GO:0009635","P"
"GO:0009692","P"
"GO:0016679","F"
"GO:0016711","F"
"GO:0017143","P"
"GO:0019341","P"
"GO:0042904","P"
"GO:0060137","P"
"GO:0070365","P"
"GO:0001502","P"
"GO:0017025","F"
"GO:0045925","P"
"GO:0070324","F"
"GO:0030878","P"
"GO:0007621","P"
"GO:0010745","P"
"GO:0010887","P"
"GO:0010891","P"
"GO:0030331","F"
"GO:0032966","P"
"GO:0042953","P"
"GO:0050544","F"
"GO:0050872","P"
"GO:0060100","P"
"GO:0060336","P"
"GO:0060850","P"
"GO:0070888","F"
"GO:0071306","P"
"GO:0071404","P"
"GO:0071455","P"
"GO:1901558","P"
"GO:1905461","P"
"GO:1905563","P"
"GO:2000230","P"
"GO:0008554","F"
"GO:0015432","F"
"GO:0046581","C"
"GO:0015126","F"
"GO:0015722","P"
"GO:0005335","F"
"GO:0014064","P"
"GO:0019811","F"
"GO:0021941","P"
"GO:0042713","P"
"GO:0050998","F"
"GO:0090067","P"
"GO:0030506","F"
"GO:0033268","C"
"GO:0043194","C"
"GO:0004938","F"
"GO:0010700","P"
"GO:0031692","F"
"GO:0031696","F"
"GO:0031996","F"
"GO:0032811","P"
"GO:0035624","P"
"GO:0045955","P"
"GO:0051044","P"
"GO:0061179","P"
"GO:0071881","P"
"GO:0071882","P"
"GO:0004969","F"
"GO:0032962","P"
"GO:0048245","P"
"GO:0007208","P"
"GO:0010513","P"
"GO:0014824","P"
"GO:0050966","P"
"GO:0070852","C"
"GO:0071886","F"
"GO:0090722","F"
"GO:0010960","P"
"GO:0033270","C"
"GO:0099505","P"
"GO:0038046","F"
"GO:0097444","C"
"GO:0098992","C"
"GO:0042923","F"
"GO:0007218","P"
"GO:0031635","P"
"GO:0033603","P"
"GO:0033685","P"
"GO:0038048","F"
"GO:0044849","P"
"GO:1903937","P"
"GO:1904000","P"
"GO:1990708","P"
"GO:0005004","F"
"GO:0005166","F"
"GO:0010465","F"
"GO:0021553","P"
"GO:0038180","P"
"GO:0048406","F"
"GO:0051599","P"
"GO:0060385","P"
"GO:0061368","P"
"GO:0071316","P"
"GO:0014068","P"
"GO:0019227","P"
"GO:0046548","P"
"GO:0048403","F"
"GO:0060175","F"
"GO:0099183","P"
"GO:2000811","P"
"GO:0099551","P"
"GO:1990416","P"
"GO:0007197","P"
"GO:0016907","F"
"GO:0001587","F"
"GO:0004979","F"
"GO:0031005","F"
"GO:0032100","P"
"GO:0038047","F"
"GO:0061358","P"
"GO:0071315","P"
"GO:0106072","P"
"GO:0031681","F"
"GO:0004435","F"
"GO:0007207","P"
"GO:0098981","C"
"GO:0032280","C"
"GO:1904695","P"
"GO:0060304","P"
"GO:0005516","F"
"GO:0008331","F"
"GO:0010881","P"
"GO:0035585","P"
"GO:0045762","P"
"GO:0086045","P"
"GO:0086056","F"
"GO:0098912","P"
"GO:1990454","C"
"GO:0023021","P"
"GO:0061750","F"
"GO:0086048","P"
"GO:0060372","P"
"GO:0086046","P"
"GO:0099059","C"
"GO:0099635","F"
"GO:0099703","P"
"GO:0050908","P"
"GO:0071313","P"
"GO:1904879","P"
"GO:0090314","P"
"GO:0090650","P"
"GO:0060371","P"
"GO:0004971","F"
"GO:0032281","C"
"GO:0098843","C"
"GO:0005234","F"
"GO:0015277","F"
"GO:0031624","F"
"GO:0043525","P"
"GO:0048172","P"
"GO:0099507","F"
"GO:0032983","C"
"GO:0017075","F"
"GO:0043014","F"
"GO:0048487","F"
"GO:0032148","P"
"GO:0016600","C"
"GO:0008343","P"
"GO:0032099","P"
"GO:0032812","P"
"GO:0045779","P"
"GO:0051971","P"
"GO:0019534","F"
"GO:0051615","P"
"GO:1901998","P"
"GO:0052106","P"
"GO:0060731","P"
"GO:0070715","P"
"GO:0042137","P"
"GO:0070083","C"
"GO:0070474","P"
"GO:0070473","P"
"GO:0000185","P"
"GO:0001891","C"
"GO:0002740","P"
"GO:0002876","P"
"GO:0002925","P"
"GO:0005164","F"
"GO:0010693","P"
"GO:0034116","P"
"GO:0035509","P"
"GO:0045410","P"
"GO:0045416","P"
"GO:0045662","P"
"GO:0045668","P"
"GO:0050754","P"
"GO:0050830","P"
"GO:0050901","P"
"GO:0051000","P"
"GO:0051897","P"
"GO:0060559","P"
"GO:0060664","P"
"GO:0061048","P"
"GO:0071803","P"
"GO:0097527","P"
"GO:1900222","P"
"GO:1901224","P"
"GO:1901671","P"
"GO:1903347","P"
"GO:1904999","P"
"GO:2000010","P"
"GO:2000304","P"
"GO:2000334","P"
"GO:2000778","P"
"GO:2001240","P"
"GO:0043198","C"
"GO:0035176","P"
"GO:0099149","P"
"GO:0031748","F"
"GO:0032416","P"
"GO:0048715","P"
"GO:0050883","P"
"GO:0060161","P"
"GO:0001992","P"
"GO:0033861","P"
"GO:0001530","F"
"GO:0004252","F"
"GO:0005796","C"
"GO:0008083","F"
"GO:0051838","P"
"GO:0051918","P"
"GO:0070053","F"
"GO:0070945","P"
"GO:1900016","P"
"GO:1900738","P"
"GO:0008385","C"
"GO:0035631","C"
"GO:0035666","P"
"GO:0031625","F"
"GO:0035026","P"
"GO:0035976","C"
"GO:0043922","P"
"GO:0045657","P"
"GO:0051365","P"
"GO:0070412","F"
"GO:0071837","F"
"GO:1990441","P"
"GO:0000320","P"
"GO:0003714","F"
"GO:0010971","P"
"GO:0033601","P"
"GO:0045737","P"
"GO:0070064","F"
"GO:0070141","P"
"GO:0071157","P"
"GO:0097421","P"
"GO:0002741","P"
"GO:0006975","P"
"GO:0010759","P"
"GO:0031143","C"
"GO:0032212","P"
"GO:0033129","P"
"GO:0038096","P"
"GO:0042473","P"
"GO:0048538","P"
"GO:0060020","P"
"GO:0060440","P"
"GO:0090170","P"
"GO:1900034","P"
"GO:1904355","P"
"GO:2000657","P"
"GO:0010800","P"
"GO:0015966","P"
"GO:0019858","P"
"GO:0031435","F"
"GO:0060716","P"
"GO:0097011","P"
"GO:0005547","F"
"GO:0010748","P"
"GO:0010918","P"
"GO:0030235","F"
"GO:0031295","P"
"GO:0031999","P"
"GO:0032079","P"
"GO:0032287","P"
"GO:0032794","F"
"GO:0043325","F"
"GO:0045725","P"
"GO:0045746","P"
"GO:0045792","P"
"GO:0046326","P"
"GO:0060709","P"
"GO:0071889","F"
"GO:0090201","P"
"GO:0100002","P"
"GO:0140052","P"
"GO:1903721","P"
"GO:1990418","P"
"GO:0015127","F"
"GO:0015694","P"
"GO:0015723","P"
"GO:0030644","P"
"GO:0070327","P"
"GO:1901086","P"
"GO:0015949","P"
"GO:0004791","F"
"GO:0002930","P"
"GO:0030199","P"
"GO:0033629","P"
"GO:0042574","P"
"GO:0061304","P"
"GO:0071603","P"
"GO:0004861","F"
"GO:0006977","P"
"GO:0019912","F"
"GO:0030332","F"
"GO:0045736","P"
"GO:0060574","P"
"GO:0070557","C"
"GO:0071493","P"
"GO:0071850","P"
"GO:0090399","P"
"GO:1905179","P"
"GO:0000979","F"
"GO:0060766","P"
"GO:1904837","P"
"GO:0007182","P"
"GO:0030578","P"
"GO:0042406","C"
"GO:0043153","P"
"GO:0050713","P"
"GO:0004032","F"
"GO:0018636","F"
"GO:0042448","P"
"GO:0044597","P"
"GO:0044598","P"
"GO:0047086","F"
"GO:0047115","F"
"GO:0047718","F"
"GO:0071395","P"
"GO:0043531","F"
"GO:0008607","F"
"GO:0014873","P"
"GO:0004962","F"
"GO:0048484","P"
"GO:0086100","P"
"GO:0000733","P"
"GO:0001094","F"
"GO:0002309","P"
"GO:0007406","P"
"GO:0008340","P"
"GO:0010666","P"
"GO:0043504","P"
"GO:0048539","P"
"GO:0061419","P"
"GO:0062100","P"
"GO:0070245","P"
"GO:0071494","P"
"GO:0072363","P"
"GO:0072717","P"
"GO:0090200","P"
"GO:0090403","P"
"GO:0097371","F"
"GO:0097718","F"
"GO:1900119","P"
"GO:1900740","P"
"GO:1903799","P"
"GO:1903800","P"
"GO:1904024","P"
"GO:1990440","P"
"GO:0001554","P"
"GO:0021589","P"
"GO:0031204","P"
"GO:0035437","P"
"GO:0051787","F"
"GO:0060904","P"
"GO:0090074","P"
"GO:1903895","P"
"GO:1904313","P"
"GO:0044183","F"
"GO:0051085","P"
"GO:0043027","F"
"GO:0004711","F"
"GO:0007253","P"
"GO:0008139","F"
"GO:0010875","P"
"GO:0008656","F"
"GO:0016540","P"
"GO:0050700","F"
"GO:0072558","C"
"GO:0072559","C"
"GO:0097169","C"
"GO:1903265","P"
"GO:0097199","F"
"GO:0007413","P"
"GO:0016005","F"
"GO:0030889","P"
"GO:0046007","P"
"GO:0061713","P"
"GO:0072734","P"
"GO:0097200","F"
"GO:0015671","P"
"GO:0045656","P"
"GO:0090096","P"
"GO:1905643","P"
"GO:0000701","F"
"GO:0006287","P"
"GO:0032405","F"
"GO:0043626","C"
"GO:0070182","F"
"GO:0070987","P"
"GO:1902990","P"
"GO:0030337","F"
"GO:0006272","P"
"GO:0003680","F"
"GO:0019896","P"
"GO:0031116","P"
"GO:0034452","F"
"GO:0045298","C"
"GO:0048312","P"
"GO:0090258","P"
"GO:0097418","C"
"GO:0099077","F"
"GO:0099609","F"
"GO:1904115","C"
"GO:1905689","P"
"GO:0015420","F"
"GO:0015431","F"
"GO:0015889","P"
"GO:0071716","P"
"GO:0034775","P"
"GO:0034634","F"
"GO:1904724","C"
"GO:0019864","F"
"GO:0070402","F"
"GO:0008239","F"
"GO:0010716","P"
"GO:0031258","C"
"GO:0035641","P"
"GO:0016404","F"
"GO:0031088","C"
"GO:0034752","C"
"GO:1904613","P"
"GO:0016934","F"
"GO:0030977","F"
"GO:0051970","P"
"GO:0060012","P"
"GO:0060013","P"
"GO:0060077","C"
"GO:0098690","C"
"GO:0021562","P"
"GO:0021771","P"
"GO:0042320","P"
"GO:0045759","P"
"GO:0002223","P"
"GO:0002479","P"
"GO:0005782","C"
"GO:0008379","F"
"GO:0045454","P"
"GO:0003886","F"
"GO:0008327","F"
"GO:0010216","P"
"GO:0043045","P"
"GO:0051571","P"
"GO:0090116","P"
"GO:1905460","P"
"GO:1905931","P"
"GO:0004126","F"
"GO:0009972","P"
"GO:1904813","C"
"GO:0004422","F"
"GO:0006178","P"
"GO:0046038","P"
"GO:0052657","F"
"GO:0032263","P"
"GO:0008119","F"
"GO:1904047","F"
"GO:0004769","F"
"GO:0018916","P"
"GO:0045171","C"
"GO:0070458","P"
"GO:0010592","P"
"GO:0032587","C"
"GO:0032707","P"
"GO:0035025","P"
"GO:0035774","P"
"GO:0050690","P"
"GO:0051022","F"
"GO:0051496","P"
"GO:0051894","P"
"GO:0055038","C"
"GO:0071526","P"
"GO:0090023","P"
"GO:1900026","P"
"GO:0008045","P"
"GO:0016601","P"
"GO:0003865","F"
"GO:0006702","P"
"GO:0009917","F"
"GO:0030283","F"
"GO:0047751","F"
"GO:0004503","F"
"GO:0006583","P"
"GO:0006726","P"
"GO:0033162","C"
"GO:0006707","P"
"GO:0030573","P"
"GO:0047787","F"
"GO:0004965","F"
"GO:0038039","C"
"GO:0008022","F"
"GO:0004051","F"
"GO:0016363","C"
"GO:0008240","F"
"GO:0008241","F"
"GO:0031434","F"
"GO:0031711","F"
"GO:0060177","P"
"GO:0070573","F"
"GO:1900086","P"
